# Socioeconomic data 
# Collected in the year 2021
21	American Indian	income	146800
21	American Indian	savings	18700
21	American Indian	education	8
21	American Indian	debt	137000
46	American Indian	income	44700
46	American Indian	savings	16000
46	American Indian	education	16
46	American Indian	debt	97800
46	Pacific Islander	income	135100
46	Pacific Islander	savings	40800
46	Pacific Islander	education	16
46	Pacific Islander	debt	32100
22	White	income	22600
22	White	savings	34200
22	White	education	14
22	White	debt	108800
18	American Indian	income	145800
18	American Indian	savings	42400
18	American Indian	education	11
18	American Indian	debt	118200
44	Asian	income	61900
44	Asian	savings	2400
44	Asian	education	16
44	Asian	debt	74800
43	Pacific Islander	income	119900
43	Pacific Islander	savings	37700
43	Pacific Islander	education	20
43	Pacific Islander	debt	40900
26	Black	income	105000
26	Black	savings	20000
26	Black	education	9
26	Black	debt	126700
56	Asian	income	148400
56	Asian	savings	49500
56	Asian	education	14
56	Asian	debt	139700
60	White	income	86200
60	White	savings	45700
60	White	education	15
60	White	debt	23800
50	White	income	47500
50	White	savings	1900
50	White	education	13
50	White	debt	29500
57	Asian	income	30100
57	Asian	savings	45600
57	Asian	education	20
57	Asian	debt	117900
23	Black	income	66700
23	Black	savings	33100
23	Black	education	10
23	Black	debt	110800
28	Pacific Islander	income	27700
28	Pacific Islander	savings	10300
28	Pacific Islander	education	20
28	Pacific Islander	debt	89300
31	American Indian	income	58800
31	American Indian	savings	2700
31	American Indian	education	19
31	American Indian	debt	20700
25	American Indian	income	30700
25	American Indian	savings	11000
25	American Indian	education	10
25	American Indian	debt	134800
20	Asian	income	130800
20	Asian	savings	5500
20	Asian	education	11
20	Asian	debt	18000
41	White	income	85100
41	White	savings	13500
41	White	education	12
41	White	debt	15200
47	Pacific Islander	income	131500
47	Pacific Islander	savings	19500
47	Pacific Islander	education	15
47	Pacific Islander	debt	124400
29	Black	income	25600
29	Black	savings	27300
29	Black	education	14
29	Black	debt	26300
